test	layer	head	upper	lower
min_cost_matching	3	48	1	1
min_cost_matching	3	49	1	1
min_cost_matching	4	0	35708	2
min_cost_matching	4	1	35708	2
min_cost_matching	4	2	35708	2
min_cost_matching	4	3	646	5
min_cost_matching	4	4	1	1
min_cost_matching	4	5	1	1
min_cost_matching	4	6	1	1
min_cost_matching	4	7	1	1
min_cost_matching	4	8	1	1
min_cost_matching	4	9	1	1
min_cost_matching	4	10	1	1
min_cost_matching	4	11	1	1
min_cost_matching	4	12	1	1
min_cost_matching	4	13	1	1
min_cost_matching	4	14	1	1
min_cost_matching	4	15	1	1
min_cost_matching	4	16	1	1
min_cost_matching	4	17	1	1
min_cost_matching	4	18	1	1
min_cost_matching	4	19	1	1
min_cost_matching	4	20	1	1
min_cost_matching	4	21	1	1
min_cost_matching	4	22	1	1
min_cost_matching	4	23	1	1
min_cost_matching	4	24	1	1
min_cost_matching	4	25	1	1
min_cost_matching	4	26	1	1
min_cost_matching	4	27	1	1
min_cost_matching	4	28	1	1
min_cost_matching	4	29	1	1
min_cost_matching	4	30	1	1
min_cost_matching	4	31	1	1
min_cost_matching	4	32	1	1
min_cost_matching	4	33	1	1
min_cost_matching	4	34	1	1
min_cost_matching	4	35	1	1
min_cost_matching	4	36	1	1
min_cost_matching	4	37	1	1
min_cost_matching	4	38	1	1
min_cost_matching	4	39	1	1
min_cost_matching	4	40	1	1
min_cost_matching	4	41	1	1
min_cost_matching	4	42	1	1
min_cost_matching	4	43	1	1
min_cost_matching	4	44	1	1
min_cost_matching	4	45	1	1
min_cost_matching	4	46	1	1
min_cost_matching	4	47	1	1
min_cost_matching	4	48	1	1
min_cost_matching	4	49	1	1
min_cost_matching	5	0	1	1
min_cost_matching	5	1	1	1
min_cost_matching	5	2	1	1
min_cost_matching	5	3	1	1
min_cost_matching	5	4	1	1
min_cost_matching	5	5	1	1
min_cost_matching	5	6	1	1
min_cost_matching	5	7	1	1
min_cost_matching	5	8	1	1
min_cost_matching	5	9	1	1
min_cost_matching	5	10	1	1
min_cost_matching	5	11	1	1
