layer	proj	rows	cols	in_zero_cols	droppable_nnz	total_nnz	reduction
0	qkv	294	98	0	0	50	0.000000
0	fi	64	98	0	0	27	0.000000
1	qkv	294	98	0	0	9	0.000000
1	fi	64	98	0	0	12	0.000000
2	qkv	294	98	0	0	65	0.000000
2	fi	64	98	0	0	69	0.000000
3	qkv	294	98	0	0	68	0.000000
3	fi	64	98	0	0	69	0.000000
4	qkv	294	98	0	0	53	0.000000
4	fi	64	98	0	0	73	0.000000
5	qkv	294	98	0	0	0	0.000000
5	fi	64	98	0	0	176	0.000000
6	qkv	294	98	0	0	0	0.000000
6	fi	64	98	0	0	71	0.000000
