test	layer	head	upper	lower
sudoku	4	43	1	1
sudoku	4	44	1	1
sudoku	4	45	1	1
sudoku	4	46	1	1
sudoku	4	47	1	1
sudoku	4	48	1	1
sudoku	4	49	1	1
sudoku	5	0	1	1
sudoku	5	1	1	1
sudoku	5	2	1	1
sudoku	5	3	1	1
sudoku	5	4	1	1
sudoku	5	5	1	1
sudoku	5	6	1	1
sudoku	5	7	1	1
sudoku	5	8	1	1
sudoku	5	9	1	1
sudoku	5	10	1	1
sudoku	5	11	1	1
sudoku	5	12	1	1
sudoku	5	13	1	1
sudoku	5	14	1	1
sudoku	5	15	1	1
sudoku	5	16	1	1
sudoku	5	17	1	1
sudoku	5	18	1	1
sudoku	5	19	1	1
sudoku	5	20	1	1
sudoku	5	21	1	1
sudoku	5	22	1	1
sudoku	5	23	1	1
sudoku	5	24	1	1
sudoku	5	25	1	1
sudoku	5	26	1	1
sudoku	5	27	1	1
sudoku	5	28	1	1
sudoku	5	29	1	1
sudoku	5	30	1	1
sudoku	5	31	1	1
sudoku	5	32	1	1
sudoku	5	33	1	1
sudoku	5	34	1	1
sudoku	5	35	1	1
sudoku	5	36	1	1
sudoku	5	37	1	1
sudoku	5	38	1	1
sudoku	5	39	1	1
sudoku	5	40	1	1
sudoku	5	41	1	1
sudoku	5	42	1	1
sudoku	5	43	1	1
sudoku	5	44	1	1
sudoku	5	45	1	1
sudoku	5	46	1	1
sudoku	5	47	1	1
sudoku	5	48	1	1
sudoku	5	49	1	1
sudoku	6	0	1	1
sudoku	6	1	1	1
sudoku	6	2	1	1
sudoku	6	3	1	1
sudoku	6	4	1	1
sudoku	6	5	1	1
sudoku	6	6	1	1
sudoku	6	7	1	1
sudoku	6	8	1	1
sudoku	6	9	1	1
sudoku	6	10	1	1
sudoku	6	11	1	1
sudoku	6	12	1	1
sudoku	6	13	1	1
sudoku	6	14	1	1
sudoku	6	15	1	1
sudoku	6	16	1	1
sudoku	6	17	1	1
sudoku	6	18	1	1
sudoku	6	19	1	1
sudoku	6	20	1	1
sudoku	6	21	1	1
sudoku	6	22	1	1
sudoku	6	23	1	1
sudoku	6	24	1	1
sudoku	6	25	1	1
sudoku	6	26	1	1
sudoku	6	27	1	1
sudoku	6	28	1	1
sudoku	6	29	1	1
sudoku	6	30	1	1
sudoku	6	31	1	1
sudoku	6	32	1	1
sudoku	6	33	1	1
sudoku	6	34	1	1
sudoku	6	35	1	1
sudoku	6	36	1	1
sudoku	6	37	1	1
sudoku	6	38	1	1
sudoku	6	39	1	1
sudoku	6	40	1	1
sudoku	6	41	1	1
sudoku	6	42	1	1
sudoku	6	43	1	1
sudoku	6	44	1	1
sudoku	6	45	1	1
sudoku	6	46	1	1
sudoku	6	47	1	1
sudoku	6	48	1	1
sudoku	6	49	1	1
